"12st -- Total energy consumption by energy source, 2010Q1-2025Q2*"

"Quarter","Energy source","Quantity (TJ)","Quantity (GWh)","Share of total energy consumption (%)","Quantity, quarter-on-quarter change (%)","Quantity, year-on-year change (%)","Cumulative quantity from beginning of the year (TJ)","Cumulative quantity from beginning of the year (GWh)","Cumulative quantity from beginning of the year, year-on-year change (%)"
"2010Q2","4 Net imports of electricity",7873,2187,2.5,5.1,..,15367,4269,..
"2010Q2","5 Others",2127,591,0.7,0.0,..,4253,1181,..
"2010Q3","SSS TOTAL ENERGY CONSUMPTION",304322,84534,100.0,-4.1,..,1055315,293143,..
"2010Q3","1 Renewable energy",81397,22610,26.8,-13.7,..,289646,80457,..
"2010Q3","1.1 Hydro power",10333,2870,3.4,-23.9,..,34488,9580,..
"2010Q3","1.2 Wind power",231,64,0.1,12.3,..,689,191,..
"2010Q3","1.3 Wood fuels",66159,18378,21.7,-11.9,..,235184,65329,..
"2010Q3","1.4 Other renewable energy",4674,1298,1.5,-13.0,..,19285,5357,..
"2010Q3","2 Fossil fuels and peat",150606,41835,49.5,-5.1,..,555473,154298,..
"2010Q3","2.1 Oil (fossil)",82478,22911,27.1,4.1,..,252618,70172,..
"2010Q3","2.2 Coal",26939,7483,8.9,-17.3,..,127863,35517,..
"2010Q3","2.3 Natural gas",25376,7049,8.3,-2.9,..,102252,28403,..
"2010Q3","2.4 Peat",14224,3951,4.7,-25.7,..,67972,18881,..
"2010Q3","2.5 Other fossil fuels",1589,441,0.5,0.0,..,4767,1324,..
"2010Q3","3 Nuclear energy",56565,15712,18.6,4.3,..,174822,48562,..
"2010Q3","4 Net imports of electricity",13627,3785,4.5,73.1,..,28994,8054,..
"2010Q3","5 Others",2127,591,0.7,0.0,..,6380,1772,..
"2010Q4","SSS TOTAL ENERGY CONSUMPTION",414581,115161,100.0,36.2,..,1469896,408304,..
"2010Q4","1 Renewable energy",106170,29492,25.6,30.4,..,395816,109949,..
"2010Q4","1.1 Hydro power",11387,3163,2.8,10.2,..,45875,12743,..
"2010Q4","1.2 Wind power",371,103,0.1,60.8,..,1060,294,..
"2010Q4","1.3 Wood fuels",86054,23904,20.8,30.1,..,321238,89233,..
"2010Q4","1.4 Other renewable energy",8358,2322,2.0,78.8,..,27644,7679,..
"2010Q4","2 Fossil fuels and peat",233510,64864,56.3,55.1,..,788983,219162,..
"2010Q4","2.1 Oil (fossil)",97198,26999,23.4,17.9,..,349816,97171,..
"2010Q4","2.2 Coal",58441,16234,14.1,116.9,..,186304,51751,..
"2010Q4","2.3 Natural gas",46428,12897,11.2,83.0,..,148680,41300,..
"2010Q4","2.4 Peat",29854,8293,7.2,109.9,..,97826,27174,..
"2010Q4","2.5 Other fossil fuels",1589,441,0.4,0.0,..,6357,1766,..
"2010Q4","3 Nuclear energy",63967,17769,15.4,13.1,..,238789,66330,..
"2010Q4","4 Net imports of electricity",8808,2447,2.1,-35.4,..,37802,10501,..
"2010Q4","5 Others",2127,591,0.5,0.0,..,8506,2363,..
