"12st -- Total energy consumption by energy source, 2010Q1-2025Q2*"

"Quarter","Energy source","Quantity (TJ)","Quantity (GWh)","Share of total energy consumption (%)","Quantity, quarter-on-quarter change (%)","Quantity, year-on-year change (%)","Cumulative quantity from beginning of the year (TJ)","Cumulative quantity from beginning of the year (GWh)","Cumulative quantity from beginning of the year, year-on-year change (%)"
"2015Q4","2.2 Coal",30254,8404,8.6,95.6,-11.3,101837,28288,-19.3
"2015Q4","2.3 Natural gas",21726,6035,6.2,43.7,-20.4,82363,22879,-13.9
"2015Q4","2.4 Peat",17144,4762,4.9,122.1,3.0,57987,16108,-5.1
"2015Q4","2.5 Other fossil fuels",2505,696,0.7,0.0,-11.0,10020,2783,-11.0
"2015Q4","3 Nuclear energy",65955,18321,18.7,11.6,-0.6,243556,67654,-1.4
"2015Q4","4 Net imports of electricity",14585,4052,4.1,-0.4,-13.2,58813,16337,-9.1
"2015Q4","5 Others",2066,574,0.6,0.0,-1.3,8264,2295,-1.3
"2016Q1","SSS TOTAL ENERGY CONSUMPTION",390077,108355,100.0,10.5,5.3,390077,108355,5.3
"2016Q1","1 Renewable energy",133172,36992,34.1,9.0,6.7,133172,36992,6.7
"2016Q1","1.1 Hydro power",15194,4220,3.9,5.3,18.6,15194,4220,18.6
"2016Q1","1.2 Wind power",2420,672,0.6,-20.1,9.7,2420,672,9.7
"2016Q1","1.3 Wood fuels",98479,27355,25.3,10.8,6.3,98479,27355,6.3
"2016Q1","1.4 Other renewable energy",17080,4744,4.4,8.2,-0.8,17080,4744,-0.8
"2016Q1","2 Fossil fuels and peat",169750,47153,43.5,14.4,3.0,169750,47153,3.0
"2016Q1","2.1 Oil (fossil)",76337,21205,19.6,-0.6,2.3,76337,21205,2.3
"2016Q1","2.2 Coal",39122,10867,10.0,29.3,8.0,39122,10867,8.0
"2016Q1","2.3 Natural gas",28534,7926,7.3,31.3,-3.1,28534,7926,-3.1
"2016Q1","2.4 Peat",23003,6390,5.9,34.2,4.1,23003,6390,4.1
"2016Q1","2.5 Other fossil fuels",2753,765,0.7,9.9,9.9,2753,765,9.9
"2016Q1","3 Nuclear energy",66026,18340,16.9,0.1,9.2,66026,18340,9.2
"2016Q1","4 Net imports of electricity",19068,5297,4.9,30.7,4.6,19068,5297,4.6
"2016Q1","5 Others",2062,573,0.5,-0.2,-0.2,2062,573,-0.2
"2016Q2","SSS TOTAL ENERGY CONSUMPTION",305593,84887,100.0,-21.7,1.7,695670,193242,3.7
"2016Q2","1 Renewable energy",108036,30010,35.4,-18.9,-2.6,241208,67002,2.3
"2016Q2","1.1 Hydro power",15638,4344,5.1,2.9,-8.8,30832,8564,2.9
"2016Q2","1.2 Wind power",1975,549,0.7,-18.4,11.4,4395,1221,10.4
"2016Q2","1.3 Wood fuels",81260,22572,26.6,-17.5,2.1,179739,49927,4.4
"2016Q2","1.4 Other renewable energy",9163,2545,3.0,-46.4,-26.1,26243,7290,-11.4
"2016Q2","2 Fossil fuels and peat",125771,34936,41.2,-25.9,6.5,295521,82089,4.5
"2016Q2","2.1 Oil (fossil)",75606,21002,24.7,-1.0,10.3,151943,42206,6.1
"2016Q2","2.2 Coal",25590,7108,8.4,-34.6,28.6,64712,17975,15.3
"2016Q2","2.3 Natural gas",12077,3355,4.0,-57.7,-24.9,40611,11281,-10.8
"2016Q2","2.4 Peat",9745,2707,3.2,-57.6,-11.5,32749,9097,-1.1
"2016Q2","2.5 Other fossil fuels",2753,765,0.9,0.0,9.9,5506,1530,9.9
"2016Q2","3 Nuclear energy",54933,15259,18.0,-16.8,-5.3,120959,33600,2.1
"2016Q2","4 Net imports of electricity",14792,4109,4.8,-22.4,30.4,33860,9405,14.5
"2016Q2","5 Others",2062,573,0.7,0.0,-0.2,4123,1145,-0.2
"2016Q3","SSS TOTAL ENERGY CONSUMPTION",295492,82081,100.0,-3.3,2.6,991163,275323,3.4
"2016Q3","1 Renewable energy",100726,27979,34.1,-6.8,4.1,341934,94982,2.8
"2016Q3","1.1 Hydro power",14313,3976,4.8,-8.5,-6.5,45145,12540,-0.3
"2016Q3","1.2 Wind power",2427,674,0.8,22.9,77.2,6822,1895,27.5
"2016Q3","1.3 Wood fuels",76529,21258,25.9,-5.8,9.6,256268,71185,5.9
"2016Q3","1.4 Other renewable energy",7457,2071,2.5,-18.6,-27.0,33700,9361,-15.4
"2016Q3","2 Fossil fuels and peat",117967,32769,39.9,-6.2,2.1,413488,114858,3.8
"2016Q3","2.1 Oil (fossil)",77875,21632,26.4,3.0,4.2,229818,63838,5.5
"2016Q3","2.2 Coal",20944,5818,7.1,-18.2,35.4,85656,23793,19.7
"2016Q3","2.3 Natural gas",10526,2924,3.6,-12.9,-30.4,51137,14205,-15.7
"2016Q3","2.4 Peat",5869,1630,2.0,-39.8,-24.0,38618,10727,-5.5
"2016Q3","2.5 Other fossil fuels",2753,765,0.9,0.0,9.9,8259,2294,9.9
"2016Q3","3 Nuclear energy",57771,16048,19.6,5.2,-2.3,178730,49647,0.6
"2016Q3","4 Net imports of electricity",16966,4713,5.7,14.7,15.9,50826,14118,14.9
"2016Q3","5 Others",2062,573,0.7,0.0,-0.2,6185,1718,-0.2
"2016Q4","SSS TOTAL ENERGY CONSUMPTION",369179,102550,100.0,24.9,4.5,1360342,377873,3.7
"2016Q4","1 Renewable energy",124049,34458,33.6,23.2,1.6,465983,129440,2.5
"2016Q4","1.1 Hydro power",11139,3094,3.0,-22.2,-22.8,56283,15634,-5.7
"2016Q4","1.2 Wind power",4223,1173,1.1,74.0,39.4,11045,3068,31.8
"2016Q4","1.3 Wood fuels",93800,26056,25.4,22.6,5.5,350068,97241,5.8
"2016Q4","1.4 Other renewable energy",14888,4135,4.0,99.7,-5.7,48588,13497,-12.6
"2016Q4","2 Fossil fuels and peat",161346,44818,43.7,36.8,8.7,574834,159676,5.1
"2016Q4","2.1 Oil (fossil)",78588,21830,21.3,0.9,2.4,308406,85668,4.7
"2016Q4","2.2 Coal",41148,11430,11.2,96.5,36.0,126803,35223,24.5
"2016Q4","2.3 Natural gas",21139,5872,5.7,100.8,-2.7,72276,20077,-12.3
"2016Q4","2.4 Peat",17718,4922,4.8,201.9,3.4,56336,15649,-2.9
"2016Q4","2.5 Other fossil fuels",2753,765,0.8,0.0,9.9,11012,3059,9.9
"2016Q4","3 Nuclear energy",64326,17868,17.4,11.4,-2.5,243056,67516,-0.2
"2016Q4","4 Net imports of electricity",17396,4832,4.7,2.5,19.3,68222,18951,16.0
"2016Q4","5 Others",2062,573,0.6,0.0,-0.2,8246,2291,-0.2
"2017Q1","SSS TOTAL ENERGY CONSUMPTION",375017,104171,100.0,1.6,-3.9,375017,104171,-3.9
"2017Q1","1 Renewable energy",133875,37187,35.7,7.9,0.5,133875,37187,0.5
"2017Q1","1.1 Hydro power",11587,3219,3.1,4.0,-23.7,11587,3219,-23.7
"2017Q1","1.2 Wind power",4757,1322,1.3,12.7,96.6,4757,1322,96.6
"2017Q1","1.3 Wood fuels",98551,27375,26.3,5.1,0.1,98551,27375,0.1
"2017Q1","1.4 Other renewable energy",18980,5272,5.1,27.5,11.1,18980,5272,11.1
"2017Q1","2 Fossil fuels and peat",155369,43158,41.4,-3.7,-8.5,155369,43158,-8.5
"2017Q1","2.1 Oil (fossil)",71857,19960,19.2,-8.6,-5.9,71857,19960,-5.9
"2017Q1","2.2 Coal",34912,9698,9.3,-15.2,-10.8,34912,9698,-10.8
"2017Q1","2.3 Natural gas",25358,7044,6.8,20.0,-11.1,25358,7044,-11.1
"2017Q1","2.4 Peat",20210,5614,5.4,14.1,-12.1,20210,5614,-12.1
"2017Q1","2.5 Other fossil fuels",3032,842,0.8,10.1,10.1,3032,842,10.1
"2017Q1","3 Nuclear energy",64625,17952,17.2,0.5,-2.1,64625,17952,-2.1
"2017Q1","4 Net imports of electricity",19076,5299,5.1,9.7,0.0,19076,5299,0.0
"2017Q1","5 Others",2072,576,0.6,0.5,0.5,2072,576,0.5
"2017Q2","SSS TOTAL ENERGY CONSUMPTION",313560,87100,100.0,-16.4,2.6,688577,191271,-1.0
"2017Q2","1 Renewable energy",114414,31782,36.5,-14.5,5.9,248289,68969,2.9
"2017Q2","1.1 Hydro power",13044,3623,4.2,12.6,-16.6,24631,6842,-20.1
"2017Q2","1.2 Wind power",3451,959,1.1,-27.5,74.7,8208,2280,86.8
"2017Q2","1.3 Wood fuels",84354,23432,26.9,-14.4,3.8,182904,50807,1.8
"2017Q2","1.4 Other renewable energy",13566,3768,4.3,-28.5,48.1,32546,9041,24.0
"2017Q2","2 Fossil fuels and peat",127883,35523,40.8,-17.7,1.7,283252,78681,-4.2
"2017Q2","2.1 Oil (fossil)",72466,20130,23.1,0.9,-4.2,144323,40090,-5.0
"2017Q2","2.2 Coal",28402,7889,9.1,-18.7,11.0,63314,17587,-2.2
"2017Q2","2.3 Natural gas",12569,3491,4.0,-50.4,4.1,37927,10535,-6.6
"2017Q2","2.4 Peat",11414,3171,3.6,-43.5,17.1,31624,8784,-3.4
"2017Q2","2.5 Other fossil fuels",3032,842,1.0,0.0,10.1,6064,1684,10.1
"2017Q2","3 Nuclear energy",50773,14104,16.2,-21.4,-7.6,115398,32055,-4.6
"2017Q2","4 Net imports of electricity",18418,5116,5.9,-3.5,24.5,37494,10415,10.7
"2017Q2","5 Others",2072,576,0.7,0.0,0.5,4144,1151,0.5
"2017Q3","SSS TOTAL ENERGY CONSUMPTION",302262,83962,100.0,-3.6,2.3,990839,275233,0.0
"2017Q3","1 Renewable energy",108585,30162,35.9,-5.1,7.8,356874,99132,4.4
"2017Q3","1.1 Hydro power",13690,3803,4.5,5.0,-4.4,38320,10645,-15.1
"2017Q3","1.2 Wind power",3319,922,1.1,-3.8,36.7,11527,3202,69.0
"2017Q3","1.3 Wood fuels",80887,22469,26.8,-4.1,5.7,263791,73275,2.9
"2017Q3","1.4 Other renewable energy",10690,2969,3.5,-21.2,43.4,43236,12010,28.3
"2017Q3","2 Fossil fuels and peat",117202,32556,38.8,-8.4,-0.7,400454,111237,-3.2
"2017Q3","2.1 Oil (fossil)",77216,21449,25.6,6.6,-0.9,221540,61539,-3.6
"2017Q3","2.2 Coal",20142,5595,6.7,-29.1,-3.8,83456,23182,-2.6
"2017Q3","2.3 Natural gas",10904,3029,3.6,-13.3,3.6,48831,13564,-4.5
"2017Q3","2.4 Peat",5908,1641,2.0,-48.2,0.7,37532,10426,-2.8
"2017Q3","2.5 Other fossil fuels",3032,842,1.0,0.0,10.1,9095,2527,10.1
"2017Q3","3 Nuclear energy",55573,15437,18.4,9.5,-3.8,170972,47492,-4.3
"2017Q3","4 Net imports of electricity",18830,5230,6.2,2.2,11.0,56324,15646,10.8
"2017Q3","5 Others",2072,576,0.7,0.0,0.5,6216,1727,0.5
"2017Q4","SSS TOTAL ENERGY CONSUMPTION",363219,100894,100.0,20.2,-1.6,1354058,376127,-0.5
"2017Q4","1 Renewable energy",136096,37805,37.5,25.3,9.7,492970,136936,5.8
"2017Q4","1.1 Hydro power",14277,3966,3.9,4.3,28.2,52597,14610,-6.6
"2017Q4","1.2 Wind power",5736,1593,1.6,72.9,35.8,17263,4795,56.3
"2017Q4","1.3 Wood fuels",99028,27508,27.3,22.4,5.6,362819,100783,3.6
"2017Q4","1.4 Other renewable energy",17056,4738,4.7,59.6,14.6,60291,16748,24.1
"2017Q4","2 Fossil fuels and peat",143462,39850,39.5,22.4,-11.1,543916,151088,-5.4
"2017Q4","2.1 Oil (fossil)",76547,21263,21.1,-0.9,-2.6,298087,82802,-3.4
"2017Q4","2.2 Coal",30417,8449,8.4,51.0,-26.1,113873,31632,-10.2
"2017Q4","2.3 Natural gas",17136,4760,4.7,57.2,-18.9,65967,18324,-8.7
"2017Q4","2.4 Peat",16328,4536,4.5,176.4,-7.8,53861,14961,-4.4
"2017Q4","2.5 Other fossil fuels",3032,842,0.8,0.0,10.1,12127,3369,10.1
"2017Q4","3 Nuclear energy",64381,17884,17.7,15.9,0.1,235352,65376,-3.2
"2017Q4","4 Net imports of electricity",17208,4780,4.7,-8.6,-1.1,73532,20426,7.8
"2017Q4","5 Others",2072,576,0.6,0.0,0.5,8287,2302,0.5
"2018Q1","SSS TOTAL ENERGY CONSUMPTION",408261,113406,100.0,12.4,8.9,408261,113406,8.9
"2018Q1","1 Renewable energy",149033,41398,36.5,9.5,11.3,149033,41398,11.3
"2018Q1","1.1 Hydro power",15076,4188,3.7,5.6,30.1,15076,4188,30.1
"2018Q1","1.2 Wind power",5197,1444,1.3,-9.4,9.3,5197,1444,9.3
"2018Q1","1.3 Wood fuels",107094,29748,26.2,8.2,8.7,107094,29748,8.7
"2018Q1","1.4 Other renewable energy",21666,6018,5.3,27.0,14.2,21666,6018,14.2
"2018Q1","2 Fossil fuels and peat",173021,48061,42.4,20.6,11.4,173021,48061,11.4
"2018Q1","2.1 Oil (fossil)",74752,20764,18.3,-2.4,4.0,74752,20764,4.0
"2018Q1","2.2 Coal",37747,10485,9.3,24.1,8.1,37747,10485,8.1
"2018Q1","2.3 Natural gas",30242,8401,7.4,76.5,19.3,30242,8401,19.3
"2018Q1","2.4 Peat",27202,7556,6.7,66.6,34.6,27202,7556,34.6
"2018Q1","2.5 Other fossil fuels",3077,855,0.8,1.5,1.5,3077,855,1.5
"2018Q1","3 Nuclear energy",65474,18187,16.0,1.7,1.3,65474,18187,1.3
"2018Q1","4 Net imports of electricity",18605,5168,4.6,8.1,-2.5,18605,5168,-2.5
"2018Q1","5 Others",2128,591,0.5,2.7,2.7,2128,591,2.7
"2018Q2","SSS TOTAL ENERGY CONSUMPTION",310666,86296,100.0,-23.9,-0.9,718927,199702,4.4
"2018Q2","1 Renewable energy",116789,32441,37.6,-21.6,2.1,265822,73839,7.1
"2018Q2","1.1 Hydro power",13653,3792,4.4,-9.4,4.7,28728,7980,16.6
"2018Q2","1.2 Wind power",4556,1265,1.5,-12.4,32.0,9753,2709,18.8
"2018Q2","1.3 Wood fuels",86363,23990,27.8,-19.4,2.4,193457,53738,5.8
"2018Q2","1.4 Other renewable energy",12218,3394,3.9,-43.6,-9.9,33884,9412,4.1
